:START_ID(Product),:END_ID(Color)
18e9aef6-01d9-4a94-876e-561ba8f3f529,Vàng
58dbc421-80c7-4606-94ab-bd1d9ffdd8df,Cam
93968ebe-35b1-4e7d-a35e-f4a034551f2b,Đỏ
3986ab21-482a-4ead-8712-34163491085f,Đỏ
0f3b8830-5242-4060-a112-b7d85ed81ccf,Cam
5e4b8de2-508d-46d7-8ac9-3af239b0b559,Nâu
05608c1a-525c-41ed-b123-7dceb51dfad1,Trắng
0e605ac4-eaa6-4cfc-a9c7-0b1a9f4b735f,Đỏ
d54688ff-2a38-4e2b-9692-5194d73a3c9f,Nâu
4cb4fdd5-7360-4a6f-888e-e86661da5f55,Trắng
60e4d54a-9e0c-4960-8f38-89ecbf451610,Cam
541c97c5-720c-4d3e-a4e7-8b02bf857771,Đỏ
4db93d33-3371-4524-bd47-d84338c4101d,Xanh
085a810e-b328-475d-8c0e-30e4671b0ce5,Trắng
e74fc623-15ba-4525-843a-dd2683e8d1f0,Đỏ
cdd5990f-b39e-42f4-be02-d3f4d4b8aeaa,Trắng
236e97cd-bd20-41f9-841e-3ada8290cdfe,Trắng
7b9aa126-7ebd-4744-8c08-09072a914de5,Đen
625cc3d4-dd8d-4811-a25a-48e98ccd61fe,Trắng
b6b445b5-e3b5-4291-9d6e-e9d2c7ad4fea,Đỏ
7844a2d5-5eec-459d-a724-8390e6e087d1,Xanh
12e0f0fe-f9be-4bae-8cd4-55c8d8a58310,Xám
b08c44b0-6c84-4b69-ad58-d47ecfaee162,Cam
c2ff3b71-912a-4918-9981-08cccd34d655,Trắng
de04cb35-5435-4497-bc88-0907ea9b1a31,Đỏ
441b4c89-60d7-4dc1-9ec9-98e146f3e1a4,Xanh
ebacdf09-6045-42ab-a7a6-a4e236137f7c,Đỏ
d46ea398-0574-4559-9df3-9d86462b44bf,Trắng
6e3e00c1-ef9c-4bc2-8c15-4d23cb1133b7,Trắng
0f0c67f5-f58f-4846-9b77-be038f891ae6,Trắng
567d246f-a8d5-43e2-9b4c-45964b8613cc,Hồng
0c9fdd68-04c7-47e6-b956-6ef3b66bc60a,Đen
1d8224a7-c081-4ff9-96fc-92d4de3d52fc,Đỏ
31234457-4ec4-4730-a119-a0a1fe260953,Trắng
f3ddec6c-499b-4e81-a8cd-75844e7464bc,Đen
d8899291-e61b-4858-b501-32940a86fe73,Xanh
e8b4a2c7-fb2e-4167-9939-b0e69e7e48cb,Vàng
cfbdcc47-1dba-4833-a169-f05ffeaa19e1,Hồng
828ee48f-e39b-414f-9097-02b630113865,Đỏ
fbd2f495-ef8c-4ba7-9336-22152a045590,Hồng
e302f2c8-242d-4281-a764-72fe72ba3363,Nâu
d800c773-1f1a-4f4a-8c99-a94f52b64a93,Đỏ
6e6170cc-5161-4c29-a0e4-859f5dd6559c,Cam
28af58b9-27c5-46de-ab33-233bfddfd428,Đen
7901916a-bda0-491e-a710-ac6eca88c99a,Đen
c1c89407-6cd8-4dd1-8dcc-21fb1f168c3f,Hồng
fc128b1b-be6f-4276-bf0b-00f95e29e305,Xanh
fa809fdd-df33-4ca7-b7d5-6f87f55caac7,Đen
bf43aabc-e7f6-4f31-8afe-1e9677344128,Đen
ba2a9a32-247b-420d-9ed5-292b416dd397,Xanh
ece3e763-5eab-4061-8943-7c3a92c51870,Xanh
2b96ecc7-e37b-4ca3-b62d-0cab6c50d499,Đen
35739850-8d73-408b-bd80-54fe8d9f21ec,Đỏ
1f124e19-9e86-4854-af06-04498c80d0ce,Đen
8b083dea-4309-41b0-9b45-dcac0bfddf4a,Đen
6393f7ad-c1ed-470e-bb21-3d62bf3bbb6f,Đỏ
b0476ae3-862c-445d-83ec-39dcc3f86568,Đỏ
edff3d6d-0e1c-47b7-884e-e827795deae1,Đỏ
4ee663f2-e235-429d-8b6a-3d820ac873fc,Đen
f4b8399a-830c-40c9-9552-18cdb8333fe4,Đỏ
3cd607f7-7cc4-4260-a201-71a4d7e400b3,Đen
b56971ac-3f87-4a0d-b1aa-b211fa6958cf,Đỏ
b196dea3-e3d1-4546-b5c2-d9b474e51eaa,Đen
9d366635-e69b-4e6f-bf32-9332e1286b23,Đỏ
5fb9824e-8f8b-4796-8303-831ceb16bb82,Đỏ
21f7ebd5-235e-4a60-87ca-8e84643ffab8,Đỏ
2051a154-74ad-4038-9c49-f0bf4d8fa9a9,Đen
3536122a-cdb9-401a-b6b5-cd6609ba3c2a,Đỏ
05477751-e308-400b-8d9f-8852d0bb1148,Đen
327f9e43-38a1-4a10-b465-39cc5fd2eb3c,Xanh
219ca5aa-2dfc-41aa-bfd7-52410b9f90c7,Trắng
